Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Gasparetto Júnior, Antonio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Estado de Exceção e Supressão das Liberdades: da normatização francesa à pragmática da contemporaneidade,Não informado pela instituição,Pontifícia Universidade Católica de Minas Gerais (PUC Minas),PUC_MINS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Estado de exceção||supressão das liberdades||contemporaneidade,Não informado pela instituição,http://periodicos.pucminas.br/index.php/cadernoshistoria/article/view/23592
"Eulálio Brasileiro, Anaïs||Ribeiro Barza, Eugênia Cristina Nilsen||Da Boaviagem, Aurelio Agostinho",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Smart Contracts no âmbito dos Non-Fungible Tokens (NFTs): desafios e perspectivas de normatização,Não informado pela instituição,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),CONPEDI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Blockchain; NFTs; Smart Contract; linguagem; regulamentação,Não informado pela instituição,http://www.indexlaw.org/index.php/revistadgnt/article/view/8749
"Lavalle,Adrian Gurza||Guicheney,Hellen||Vello,Bruno Grisotto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,CONSELHOS E REGIMES DE NORMATIZAÇÃO padrões decisórios em municípios de grande porte,Não informado pela instituição,Associação Nacional de Pós-Graduação e Pesquisa em Ciências Sociais (ANPOCS),ANPOCS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,conselhos||políticas públicas||regimes de normatização||tipologia||especificação institucional||indução federal,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092021000200502
"Silva, Reynaldo Daivyd Lopes da||Silva, Thaís Patricia Paulino da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"A normatização do circuito inferior da economia urbana no centro de União dos Palmares/AL, Brasil",Não informado pela instituição,Universidade Estadual de Alagoas (UNEAL),UNEAL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://diversitasjournal.com.br/diversitas_journal/article/view/813
"Vello, Bruno Grisotto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Conselhos e regimes de normatização: padrões decisórios em municípios de grande porte,Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,POLÍTICAS PÚBLICAS,Não informado pela instituição,https://doi.org/10.1590/3610610/2021
"Faria, Gisela Alves Paulo||Pereira Neto, André de Faria||Barbosa, Leticia",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Desviando da norma: experiências de bioidentidades e normatização em uma comunidade virtual sobre dislexia,2022,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/54373
"Leal,Sayonara",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Controvérsias na padronização do middleware de interatividade da TV digital brasileira: democracia técnica à prova do dispositivo de normatização da inovação Ginga,Não informado pela instituição,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Televisão digital interativa||Ginga||Dispositivo de normatização||Democracia técnica||Inclusão social,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69922019000100049
"Martins, Raphael Manhães",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A normatização das relações pré-contratuais = The formation of the legal content of pre-contractual relationships,2018,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/126060
"Martini de Araujo, Flora Morena Maria",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,OS EMBATES DA NORMATIZAÇÃO: GÊNERO E CULTURA NO ILUMINISMO FRANCÊS * THE CLASHES OF NORMALIZATION: GENDER AND CULTURE IN FRENCH ENLIGHTENMENT,Não informado pela instituição,Universidade Estadual Paulista (UNESP),UNESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://ojs.franca.unesp.br/index.php/historiaecultura/article/view/2362
"Lazzarin, Sonilde Kugel",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A NORMATIZAÇÃO JUSTRABALHISTA COMO MEIO DE EFETIVAÇÃO DO PRINCÍPIO DA DIGNIDADE DIANTE DAS NOVAS RELAÇÕES DE TRABALHO NA SOCIEDADE CONTEMPORÂNEA,Não informado pela instituição,Universidade de Marília (Unimar),UNIMAR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://ojs.unimar.br/index.php/revistaargumentum/article/view/1051
"Cordeiro, Quirino||Rigonatti, Sérgio Paulo||Ribeiro, Rafael Bernardon",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Normatização do uso da eletroconvulsoterapia para o tratamento de crianças e adolescentes: além dos aspectos técnicos, cientí­ficos e éticos",Não informado pela instituição,Faculdade de Ciências Médicas da Santa Casa de São Paulo,FCMSCSP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://arquivosmedicos.fcmsantacasasp.edu.br/index.php/AMSCSP/article/view/289
"Antunes Junior, Fernando Simões||de Freitas, Ernani Cesar",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,SUICIDAS FELIZES E OUTROS MITOS: OS IMPLÍCITOS DO DISCURSO DA INDÚSTRIA DA CARNE PARA NORMATIZAÇÃO DO CONSUMO E ANULAÇÃO DA EMPATIA,Não informado pela instituição,Universidade Feevale (Feevale),Feevale,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://periodicos.feevale.br/seer/index.php/revistaconhecimentoonline/article/view/1323
"Lobo, Marcela Santana||Schmidt, Ítala Colnaghi Bonassini||Leite, Rosimeire Ventura",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,COMUNICAÇÃO INSTITUCIONAL DO PODER JUDICIÁRIO: REFLEXÕES SOBRE A NORMATIZAÇÃO DA PRESENÇA DE TRIBUNAIS E JUÍZES NAS REDES SOCIAIS PELO CONSELHO NACIONAL DE JUSTIÇA,Não informado pela instituição,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),CONPEDI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Sociedade em rede; Comunicação institucional; Poder Judiciário; Juízes; Conselho Nacional de Justiça,Não informado pela instituição,http://www.indexlaw.org/index.php/revistadgnt/article/view/8311
"Blach, Matheus Cássio||Menezes, Mauro Augusto Dourado||Gomes, Leandro Eustáquio||Magabi, Yara Araújo||Queroga, Luciane da Silva||Melo, Rebeca Nunes de||Filho, Silvio Márcio Freire de Alencar",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Pensar o Centro Histórico de Manaus frente ao processo de normatização: relatos, memórias, vidas e vindas",Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufmg.br/index.php/temporalidades/article/view/19412
"Santos , José Wilson dos||Silva, Marcio Antonio da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Os processos de normatização e a constituição do livro didático de matemá- tica: disciplinamento e saber-poder; avaliação e exame,Não informado pela instituição,Universidade Federal do Pará (UFPA),UFPA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Educação Matemática||Currículo||Livro Didático de Matemática||Relações de Poder||Normatizações,Não informado pela instituição,http://www.rematec.net.br/index.php/rematec/article/view/208
"Leal, Sayonara",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Controvérsias na padronização do middleware de interatividade da TV digital brasileira : democracia técnica à prova do dispositivo de normatização da inovação Ginga,2019-04,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://repositorio.unb.br/handle/10482/36341||https://doi.org/10.1590/s0102-6992-201934010003||http://orcid.org/0000-0001-9369-1960
"Nhatuve, Diocleciano",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Para a normatização do português de Moçambique: aspectos fonético fonológicos da vibrante e da lateral no português oral de Maputo,Não informado pela instituição,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Linguistica e lingua portuguesa||Português de Maputo; Uso da consoante e do dígrafo ; Tendências; Traço [+ Vibrante múltipla] e [+ Aspirado].,Não informado pela instituição,https://periodicos.utfpr.edu.br/rl/article/view/6948
"Nascimento, Luniza Carvalho do",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A normatização do conceito contábil de receita no Direito Tributário = The normalization of the accounting concept of revenue in Tax Law,2020,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/164670
"Obara, Hilbert Maximiliano Akihito",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O GIRO LINGUÍSTICO E A NORMATIZAÇÃO CONSTITUCIONAL NO CASO CONCRETO: CONFORMAÇÃO NA DECISÃO QUE DETERMINOU O SERVIÇO DE TELE-ENTREGA DE RESTAURANTE EM SHOPPING NO PERÍODO DE PANDEMIA DO CORONAVÍRUS,Não informado pela instituição,Universidade FUMEC,FUMEC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Normatização constitucional. Conflito aparente de regras. COVID-19||Análise de decisão judicial.,Não informado pela instituição,http://revista.fumec.br/index.php/meritum/article/view/7883
"Obara, Hilbert Maximiliano Akihito",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O giro linguístico e a normatização constitucional no caso concreto: conformação na decisão que determinou o serviço de tele-entrega de restaurante em shopping no período de pandemia do coronavírus,2020-08,Universidade La Salle (UNILASALLE),UNILASALLE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Normatização constitucional||Conflito aparente de regras||Análise de decisão judicial,Não informado pela instituição,http://hdl.handle.net/11690/1524
"Miziara, Raphael",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A reforma sem acabamento: incompletude e insuficiência da normatização do teletrabalho no Brasil = The reform without finishing: incompletude and insufficiency of the normatization of telecommuting in Brazil,2018,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Teletrabalho, alteração||Reforma trabalhista||Jornada de trabalho, controle||Poder diretivo (direito do trabalho)||Inspeção do trabalho||Hermenêutica||Legislação trabalhista, alteração",Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/121348
"Ribeiro, José Cláudio Junqueira||Vasconcellos Júnior, Jayro Boy de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Avaliação de impacto ambiental: origem, normatização e a (in)efetividade no âmbito dos processos de licenciamento ambiental brasileiro = Environmental impact assessment: origin, standardization and (in) effectiveness within the scope of Brazilian environmental licensing processes",2020,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/142389
"Gomes, Magno Federici||Bastianetto, Lorena Machado Rogedo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A ultradiscricionariedade técnica na normatização do trânsito brasileiro: progressos e esfacelamentos legais no meio ambiente artificial = The ultra-discretionary technical power in the Brazilian traffic normalization: progresses and fractures in artificial environment,2019,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/131684
"Revely Gonzalez, Andrea Natasha",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A insegurança jurídica na ausência de normatização para elaboração e análise de dados sujeitos à perícia técnica computacional = Legal uncertainty on absence of norms for elaboration and analysis of data subject to computational technical expertise,2020,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/151504
